"subst_id","lon","lat","point","polygon","voltage","power_type","substation","osm_id","osm_www","frequency","subst_name","ref","operator","dbahn","status","otg_id"
"1","13.3263228157853","52.5142138450534","0101000020E61000000579BBC813A72A40CED35FC2D1414A40","0101000020E61000000579BBC813A72A40CED35FC2D1414A40","110000","substation","NA","n2086373623","http://www.osm.org/node/2086373623","50","Umspannwerk TU Nord","NA","Technische Universität Berlin","no","3","28046"
"2","13.3166320599948","52.4404172942263","0101000020E6100000D815ED981DA22A40C0A509985F384A40","0101000020E6100000D815ED981DA22A40C0A509985F384A40","110000","substation","NA","n2092775605","http://www.osm.org/node/2092775605","50","Umspannwerk Klinikum Steglitz","NA","Klinikum Steglitz","no","3","28043"
"3","13.3181279346059","52.4372190815534","0101000020E6100000142726AAE1A22A40BA3A7CCBF6374A40","0101000020E6100000142726AAE1A22A40BA3A7CCBF6374A40","110000","substation","NA","n2092808665","http://www.osm.org/node/2092808665","50","Umspannwerk FU-Krahmerstraße","NA","Freie Universität","no","3","28030"
"4","13.4602644094249","52.435470048091","0101000020E610000033FCD3C6A7EB2A401978877BBD374A40","0101000020E610000033FCD3C6A7EB2A401978877BBD374A40","110000","substation","NA","n2094150035","http://www.osm.org/node/2094150035","50","Umspannwerk Krankenhaus Neukölln","NA","Vivantis Krankenhaus Neukölln","no","3","28006"
"5","13.2637917176784","52.5359964898871","0101000020E6100000D5C440B50F872A40036B71889B444A40","0101000020E6100000D5C440B50F872A40036B71889B444A40","110000","substation","NA","n2136571952","http://www.osm.org/node/2136571952","50","Umspannwerk Siemens Dynamowerk","NA","Siemens","no","3","28110"
"6","13.1479240478922","52.4181182886916","0101000020E61000006AFA67B3BC4B2A4018E56BE684354A40","0101000020E61000006AFA67B3BC4B2A4018E56BE684354A40","110000","substation","NA","n2138055449","http://www.osm.org/node/2138055449","50","Umspannwerk Wannsee","NA","Vattenfall Europe AG","no","3","28363"
"7","13.2875237701804","52.4513139636131","0101000020E6100000AB7ECB5036932A4026F9ECA7C4394A40","0101000020E6100000AB7ECB5036932A4026F9ECA7C4394A40","110000","sub_station","NA","n2138090713","http://www.osm.org/node/2138090713","50","Umspannwerk FU Thielallee","NA","Freie Universität Berlin","no","3","28148"
"8","12.8224101622126","52.1535016426333","0101000020E6100000BD33DDF112A52940087F1BF1A5134A40","0101000020E6100000BD33DDF112A52940087F1BF1A5134A40","110000","substation","transmission","n3615474287","http://www.osm.org/node/3615474287","NA","Umspannwerk Schlalach","NA","Energiequellen GmbH","no","3","28376"
"3103","10.0039731772407","53.5902987803595","0101000020E6100000B19EB4C508022440A04112E98ECB4A40","0101000020E6100000B19EB4C508022440A04112E98ECB4A40","110000","substation","NA","n4006538989","http://www.osm.org/node/4006538989","50","Umspannwerk Winterhude","NA","Stromnetz Hamburg GmbH","no","3","28188"
"3104","10.0410648848166","53.5661457739306","0101000020E61000002F9AE2740615244078E6F77677C84A40","0101000020E61000002F9AE2740615244078E6F77677C84A40","110000","substation","NA","n4035129039","http://www.osm.org/node/4035129039","50","Umspannwerk Eilbek","NA","Stromnetz Hamburg GmbH","no","3","28258"
"821","8.71010919193486","49.4132983764567","0101000020E6100000FEE5976E936B2140912F11F6E6B44840","0101000020E6100000FEE5976E936B2140912F11F6E6B44840","110000","substation","NA","n4345685679","http://www.osm.org/node/4345685679","50","Umspannanlage Altstadt","NA","Stadtwerke Heidelberg Netze GmbH","no","3","28278"
"3288","9.71393223499492","52.3522788468679","0101000020E610000009BAA186886D2340622F2779172D4A40","0101000020E610000009BAA186886D2340622F2779172D4A40","110000","substation","industrial","n503049407","http://www.osm.org/node/503049407","50","NA","VLB","Stadtwerke_Hannover_AG","no","3","27902"
"1","7.9163671493658","48.4855211831625","0101000020E6100000989E66265CAA1F405799E18E253E4840","0101000020E6100000989E66265CAA1F405799E18E253E4840","220000","substation","NA","n731515260","http://www.osm.org/node/731515260","NA","NA","NA","E-Werk Mittelbaden AG","no","4","28041"
"2","7.91263527818099","48.4857816751192","0101000020E610000051DAC3DC89A61F400FD10B182E3E4840","0101000020E610000051DAC3DC89A61F400FD10B182E3E4840","220000","substation","NA","n732546785","http://www.osm.org/node/732546785","NA","St.-Denis-Straße","NA","E-Werk Mittelbaden AG","no","4","28042"
"3","7.91868965370137","48.4884511791184","0101000020E6100000A44807FBBCAC1F40CD007891853E4840","0101000020E6100000A44807FBBCAC1F40CD007891853E4840","220000","substation","NA","n732546836","http://www.osm.org/node/732546836","NA","Römerstraße","NA","E-Werk Mittelbaden AG","no","4","28021"
"4","7.92234058667909","48.4809740582276","0101000020E6100000913DFE0C7AB01F40EB27D58E903D4840","0101000020E6100000913DFE0C7AB01F40EB27D58E903D4840","220000","substation","NA","n732546959","http://www.osm.org/node/732546959","NA","In der Spöck","NA","E-Werk Mittelbaden AG","no","4","28085"
"1562","12.0616871352158","50.905095478917","0101000020E6100000E5ABC874951F284061DA2C2BDA734940","0101000020E6100000E5ABC874951F284061DA2C2BDA734940","110000","substation","NA","n789439458","http://www.osm.org/node/789439458","50","Umspannwerk Gera Nord","NA","Thüringer_Energienetze","no","3","27599"
"3289","9.78151563792272","52.4032238571288","0101000020E61000009F6154D122902340E1AADFD69C334A40","0101000020E61000009F6154D122902340E1AADFD69C334A40","110000","substation","NA","n924018211","http://www.osm.org/node/924018211","50","NA","NA","Stadtwerke_Hannover_AG","no","3","27678"
"359","10.4557245773928","48.0439643751343","0101000020E61000007AC557BB54E924400FB2E89FA0054840","0103000020E61000000100000007000000E68D76100BE924400EB78B0E9D05484022697B1149E92440D284179EAC05484077FA7D4CA7E92440F2BA1A2FA70548402B6EB70154E92440BD00DF229305484001870BA314E92440108B1CBA990548403D794FA41AE924406A2B8B3E9B054840E68D76100BE924400EB78B0E9D054840","110000","substation","NA","w100134548","http://www.osm.org/way/100134548","NA","Oberauerbach","NA","LEW","no","2","26082"
"2717","7.24157181946478","52.6561964724386","0101000020E610000021F2609A5EF71C40F06FFA3EFE534A40","0103000020E6100000010000000D0000006BCE5B8256F61C40BE7B13D7F1534A4091F74ABFE8F61C407A53AA8F0D544A40CDAFDAA7A5F71C401A3DEC5808544A4011A13F0DDAF71C40D539911413544A40F6D8F02E24F81C40B4E255C210544A40364547A536F81C403136729514544A40EC68AD0383F81C40DC12537712544A404FD4DAE267F81C40B9EAFED60C544A40507028D251F81C40C93053730D544A40AF2013B28EF71C40DD7D884EE9534A401D1C998E83F71C408020B39CE9534A40D34D8F65DDF61C408FAF2327EE534A406BCE5B8256F61C40BE7B13D7F1534A40","110000","substation","transmission","w100176966","http://www.osm.org/way/100176966","50","Umspannstation Rühle","NA","NA","no","1","26083"
"1206","11.3945949460604","52.2994910504871","0101000020E61000001CFE485908CA2640BAA405B955264A40","0103000020E6100000010000000A0000000A29407EB2C926404E91F2324A264A400B71C532CEC926407898520B61264A40639DF59A65CA2640B7DFD1115D264A401D9B52E552CA2640FDC83CC54D264A4024CDEC133DCA264003886FDA4D264A40DDD5524639CA26401FFCB2F14E264A4008A2F10A2FCA264085E85C364F264A40CE611A372ACA2640F0F614574F264A40EB6BE0AB18CA2640ED85C6984C264A400A29407EB2C926404E91F2324A264A40","110000","substation","transmission","w100246415","http://www.osm.org/way/100246415","NA","NA","NA","NA","no","2","28153"
"1920","7.36361402281606","50.2408758766575","0101000020E6100000A972013C57741D40D4514E05D51E4940","0103000020E6100000010000000900000071789674B2731D409DF4E450DE1E4940AB325973D7731D408C6F0C98E01E49407EAE32F503741D4041569F7CE51E494043C49795FA741D40B9A2E9C0D61E4940D4D30D331B751D40ED9F850CD21E49406769B2810E751D40245260EFCE1E49401CBBA34EE4741D40A9D8090FCB1E494089286CB4FC731D407355ECC8C71E494071789674B2731D409DF4E450DE1E4940","110000","sub_station","NA","w100306193","http://www.osm.org/way/100306193","NA","NA","NA","NA","no","2","26084"
"494","11.4746124725069","48.6526318016765","0101000020E6100000A561EF6700F32640E2435A7089534840","0103000020E610000001000000060000005AFCF8EACAF22640E345425B835348403CB5B6A9CFF22640768C9CFB9353484062326E2130F32640768C9CFB9353484062326E2130F3264003D74DF57D534840B43A8765F1F22640217350657E5348405AFCF8EACAF22640E345425B83534840","110000","substation","NA","w100397098","http://www.osm.org/way/100397098","NA","NA","NA","NA","no","2","26085"
"2024","7.96482429051373","49.9914589319827","0101000020E6100000539218E6FADB1F40AD185420E8FE4840","0103000020E61000000100000008000000B70CF2B173DB1F406A8DC66EEDFE484013ADFF2648DC1F403CEC48F9F2FE48405DE1222F52DC1F40DC1C9838EFFE484007E5252757DC1F40D47F0619EDFE4840FD7502BE66DC1F4001F10277EDFE48404DCB81A47CDC1F404323F87AE3FE484087E15A80B4DB1F404C43D59CDCFE4840B70CF2B173DB1F406A8DC66EEDFE4840","110000","station","NA","w100548533","http://www.osm.org/way/100548533","NA","NA","NA","NA","no","2","26086"
"5","7.03129973495976","49.3308301544751","0101000020E61000003B1AA8090D201C402B007BA458AA4840","0103000020E61000000100000007000000379B6C80871F1C40B14074445BAA48406076E2C60D201C405BD6938360AA48404140C4F9FD1F1C40FB529B3263AA4840F3E931BF30201C40F844E12E65AA48403C1D289790201C4065B4F7E954AA48409EE34B91D71F1C400B8792AD4DAA4840379B6C80871F1C40B14074445BAA4840","220000;110000","substation","transmission","w100812630","http://www.osm.org/way/100812630","NA","NA","NA","NA","no","2","26087"
"495","10.7503031400023","47.6550296177921","0101000020E6100000C0CAB0BB27802540102AB102D8D34740","0103000020E6100000010000000600000037DE67F1DF7F25407DCABE2FDED3474085F66A0BE97F25405E2B5435DED34740F000C8696E8025400ABB188ADED3474038D11E856F802540ADD7F1D5D1D347401E54C20FE17F254064C9157BD1D3474037DE67F1DF7F25407DCABE2FDED34740","110000","substation","NA","w100871113","http://www.osm.org/way/100871113","NA","NA","NA","NA","no","1","26089"
"1016","6.0651890618326","50.8179075935128","0101000020E61000000883E2EBC0421840CAA42E32B1684940","0103000020E6100000010000000E000000FA90FA7E1B421840DC189895B1684940FEC528A9E3421840815032E0BE6849404A1B8EB306431840A5901034B5684940FC602F8C3043184009BF2817B66849405A9FD7E249431840D7E645B1AE6849400FA3286F2743184046B708D1AD684940363D544F1F4318405D64DABDAC6849406D72FBF028431840E364F506A8684940A4EA465915431840E52C3B47A86849404453DBFD01431840007228DBA7684940DDB03202FA421840DF95767BA76849406E7E3E77DB421840FE7C99B1A668494034CF91CEBE4218400102C618A6684940FA90FA7E1B421840DC189895B1684940","110000","substation","NA","w101006214","http://www.osm.org/way/101006214","NA","NA","NA","NA","no","2","26090"
"1563","10.1198289195044","50.6756597441033","0101000020E6100000EBC554375A3D2440E312BC047C564940","0103000020E61000000100000009000000E34A18B8203D2440E2367F6076564940F411F93F4D3D244064AB860687564940B7AFB239853D2440DF6BE50C83564940B47229FF7E3D2440C8FA63C4805649401995BED5903D244031B187827F564940812C6B57833D244042E263B47A5649407D6FDB65803D244086C9DD9579564940C69EE9C76B3D24402D83FA8471564940E34A18B8203D2440E2367F6076564940","110000","substation","NA","w101292846","http://www.osm.org/way/101292846","50","Umspannwerk Neidhartshausen","NA","Überlandwerk Rhön","no","1","26091"
"1175","13.0665684241883","53.910341450015","0101000020E61000006CABA94115222A40FD00921186F44A40","0103000020E61000000100000009000000BE9DD3639E212A403B87CB6189F44A40D579E71F17222A405B5A9EC48FF44A40D1F9C68C27222A40C476CEB089F44A405B9F3BD56F222A4074B9C6C889F44A40D003B0B285222A406F16A98E82F44A40080E46080B222A40F2F5ABF17BF44A40B8DF1642F1212A40A0ECA11886F44A404FA24019B0212A40407B738482F44A40BE9DD3639E212A403B87CB6189F44A40","110000","substation","distribution","w101854624","http://www.osm.org/way/101854624","50","Demmin","NA","EON_edis","no","1","26093"
"3412","9.59053455948334","47.7537040125734","0101000020E61000000547B88B5A2E2340EA6E825F79E04740","0103000020E61000000100000008000000831F35E2052E2340C2CA9BA07DE047402123DDD7382E2340212D8D8C89E0474021A7B128B72E2340FBC59E647BE04740C0955AA2832E2340207A2BBB6EE0474046D30D1A552E23405FF80F5569E04740E4E806B41D2E2340A7DA19C16FE04740099937F6392E23403075E34B77E04740831F35E2052E2340C2CA9BA07DE04740","110000","substation","NA","w102614597","http://www.osm.org/way/102614597","NA","NA","NA","NA","no","2","26096"
"3413","9.56206564174356","47.6843955254286","0101000020E6100000D7FC5A11C71F2340499FC7459AD74740","0103000020E6100000010000000B000000ED0198FA101F23400FC7A47B91D74740EADA2DFE211F2340BDB401EB9DD74740844EB1AE2A1F2340C7A3FB6FA1D7474048C01FBE3A1F2340CFEC290CA7D747403AF5CB9B44202340770E42CDA6D747409970E35071202340974F20D5A2D7474065F8BE3271202340C9C057029ED74740D56234C0702023401462253B8ED74740DD2E815A2B1F2340224E1B5B8ED747401B6F7F781C1F2340B2CBB6328FD74740ED0198FA101F23400FC7A47B91D74740","110000","substation","transmission","w102625864","http://www.osm.org/way/102625864","50","Umspannwerk Buch","NA","EnBW","no","1","26097"
"3414","9.52765319402113","47.6721631446425","0101000020E6100000C3E6378F280E234078E8217109D64740","0103000020E6100000010000000C00000002227100A50D23406390F8F70DD647405091DDBE530E234011A522B118D647407B463015880E2340876CE4E212D64740F919C85B8E0E2340C1C437B410D647407E19DF44A20E234004C229F204D647400DA453619A0E2340BD066F3702D647401DE7522A4F0E2340E945D440FDD54740AC8D0E7F340E23404FCA0C72FDD5474053C96B2F2E0E2340870ADB3100D64740A81F3222E10D2340ABE0FA4AFBD547403430AEA5BF0D234092EA002B01D6474002227100A50D23406390F8F70DD64740","110000","station","NA","w102625868","http://www.osm.org/way/102625868","NA","NA","NA","NA","no","2","28170"
"3415","9.56557819946688","47.6187389532725","0101000020E6100000E6143C77932123408E8888D632CF4740","0103000020E610000001000000090000005B5AF09846212340DC983A792ECF47401D463D657D212340147BA97139CF4740535FAA3C9321234024BCEFA23ACF474049D44C09AF212340FE37A1AE3DCF4740F389AFC0BB21234018F684E73DCF4740D874E063BE212340A3B702A73DCF474017C5EFA1E321234016F2F2C339CF47406E90B36384212340BB9055E325CF47405B5AF09846212340DC983A792ECF4740","110000","substation","distribution","w102625878","http://www.osm.org/way/102625878","50","Umspannwerk Langenargen","NA","EnBW Regional AG","no","1","26098"
